"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",2144.966,,
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",2115.907,,
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",2103.289,,
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",2117.143,,
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",2146.444,,
"ITD","Nord-est","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",2096.752,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",4035.911,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",3979.321,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",4068.611,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",4051.663,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",4044.048,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",3984.64,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",3938.033,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",4022.892,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",4009.165,,
"ITD","Nord-est","9","totale","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",3968.472,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",1798.622,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",1780.419,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",1188.011,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",1189.412,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2019","2019",2986.633,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","1","tempo pieno","9","totale","2020","2020",2969.831,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",174.244,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",173.364,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",610.278,,
"ITE","Centro","2","femmine","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",570.194,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",784.522,,
"ITE","Centro","9","totale","Y15-64","15-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",743.558,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",1972.866,,
"ITE","Centro","1","maschi","Y15-64","15-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",1963.378,,
