"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2020-Q1","T1-2020",404.718,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2020-Q3","T3-2020",374.416,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2020-Q4","T4-2020",408.329,,
"ITF1","Abruzzo","9","totale","Y25-34","25-34 anni","2019","2019",86.679,,
"ITF1","Abruzzo","9","totale","Y25-34","25-34 anni","2020","2020",82.834,,
"ITF6","Calabria","9","totale","Y25-34","25-34 anni","2019","2019",101.341,,
"ITF6","Calabria","9","totale","Y25-34","25-34 anni","2020","2020",92.921,,
"ITG1","Sicilia","2","femmine","Y25-34","25-34 anni","2019","2019",87.872,,
"ITG1","Sicilia","2","femmine","Y25-34","25-34 anni","2020","2020",81.096,,
"ITC1","Piemonte","9","totale","Y35-44","35-44 anni","2019","2019",457.512,,
"ITC1","Piemonte","9","totale","Y35-44","35-44 anni","2020","2020",430.189,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2019","2019",2032.573,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",2016.041,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",2056.629,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",2037.942,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",2019.68,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2020","2020",1989.766,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",1988.372,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",2014.175,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",1978.258,,
"ITD5","Emilia-Romagna","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",1978.258,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2019","2019",355.674,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2019-Q1","T1-2019",352.234,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2019-Q2","T2-2019",359.955,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2019-Q4","T4-2019",355.486,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2019-Q3","T3-2019",355.022,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2020","2020",350.017,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2020-Q2","T2-2020",353.708,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2020-Q1","T1-2020",347.816,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2020-Q3","T3-2020",346.455,,
"ITE3","Marche","1","maschi","Y_GE15","15 anni e più","2020-Q4","T4-2020",352.089,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2019","2019",550.522,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",503.315,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",558.034,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",567.949,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",572.792,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2020","2020",527.05,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",512.699,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",498.183,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",531.22,,
"ITF6","Calabria","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",566.099,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2019","2019",23359.867,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",23017.414,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",23553.667,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",23383.281,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",23485.104,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2020","2020",22903.762,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",22712.757,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",23069.754,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",22863.395,,
"IT","Italia","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",22969.142,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2019","2019",6833.757,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2019-Q1","T1-2019",6800.987,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2019-Q2","T2-2019",6860.013,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2019-Q4","T4-2019",6828.022,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2019-Q3","T3-2019",6846.005,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2020","2020",6712.37,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2020-Q2","T2-2020",6688.806,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2020-Q1","T1-2020",6783.724,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2020-Q3","T3-2020",6704.423,,
"ITCD","Nord","1","maschi","Y_GE15","15 anni e più","2020-Q4","T4-2020",6672.526,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2019","2019",6979.699,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",6941.023,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",6996.14,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",7008.942,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",6972.692,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2020","2020",6838.949,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",6794.987,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",6931.03,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",6787.958,,
"ITC","Nord-ovest","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",6841.82,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2019","2019",811.571,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",800.427,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",819.103,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",821.516,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",805.237,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2020","2020",788.814,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",795.134,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",807.731,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",774.684,,
"ITC1","Piemonte","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",777.706,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2019","2019",5210.314,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",5175.16,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",5255.159,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",5210.268,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",5200.67,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2020","2020",5108.016,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",5090.049,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",5188.08,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",5089.157,,
"ITD","Nord-est","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",5064.78,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2019","2019",225.901,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",226.249,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",222.401,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",226.978,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",227.977,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2020","2020",220.124,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",214.232,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",227.169,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",223.611,,
"ITDA","Trentino Alto Adige / Südtirol","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",215.484,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2019","2019",107.818,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",106.955,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",107.379,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",108.783,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",108.154,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2020","2020",107.343,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",107.008,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",108.246,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",106.642,,
"ITD2","Provincia Autonoma Trento","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",107.477,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2019","2019",2166.867,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2019-Q1","T1-2019",2164.554,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2019-Q2","T2-2019",2185.201,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2019-Q4","T4-2019",2159.4,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2019-Q3","T3-2019",2158.313,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2020","2020",2115.314,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2020-Q2","T2-2020",2116.113,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2020-Q1","T1-2020",2165.427,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2020-Q3","T3-2020",2098.361,,
"ITD3","Veneto","9","totale","Y_GE15","15 anni e più","2020-Q4","T4-2020",2081.355,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2019","2019",725.031,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",712.406,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",733.746,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",715.802,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",738.17,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2020","2020",709.434,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",698.989,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",710.518,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",716.772,,
"ITE1","Toscana","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",711.457,,
"ITD1","Provincia Autonoma Bolzano / Bozen","2","femmine","Y35-44","35-44 anni","2019","2019",26.555,,
"ITD1","Provincia Autonoma Bolzano / Bozen","2","femmine","Y35-44","35-44 anni","2020","2020",24.93,,
"ITF2","Molise","9","totale","Y35-44","35-44 anni","2019","2019",27.324,,
"ITF2","Molise","9","totale","Y35-44","35-44 anni","2020","2020",24.93,,
"ITF3","Campania","9","totale","Y35-44","35-44 anni","2019","2019",411.526,,
"ITF3","Campania","9","totale","Y35-44","35-44 anni","2020","2020",398.539,,
"ITC4","Lombardia","2","femmine","Y45-54","45-54 anni","2019","2019",614.004,,
"ITC4","Lombardia","2","femmine","Y45-54","45-54 anni","2020","2020",603.658,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2019","2019",673.611,,
"ITFG","Mezzogiorno","2","femmine","Y45-54","45-54 anni","2019-Q1","T1-2019",656.943,,
